CI.DZA.HH,32.60657,-116.77477,554.0,314801000.0,314801000.0,314801000.0,2016-07-20,2599-12-31
CI.ELS2.HH,33.64907,-117.42604,841.0,629601000.0,629601000.0,629601000.0,2023-08-25,2599-12-31
CI.EML.HH,32.89083,-116.84566,159.0,629601000.0,629601000.0,629601000.0,2024-09-18,2599-12-31
CI.ERR.HH,33.11652,-115.82273,-56.0,631545000.0,632385000.0,628185000.0,2014-05-29,2599-12-31
CI.ESI2.HH,33.67493,-117.32592,388.0,314801000.0,314801000.0,314801000.0,2022-11-17,2599-12-31
CI.FHO.HH,34.09355,-116.93588,1614.0,629537000.0,629537000.0,629537000.0,2021-08-26,2599-12-31
CI.FRK.HH,33.40209,-115.63835,60.0,314768280.2,314768280.2,314768280.2,2018-09-26,2599-12-31
CI.GMA.HH,34.29148,-116.38256,848.0,629865078.5,629865078.5,629865078.5,2014-07-23,2599-12-31
CI.GOR.HH,33.1537,-117.22921,138.0,624238051.8000001,624238051.8000001,624238051.8000001,1999-06-29,2599-12-31
CI.HAY.HH,33.70734,-115.63889,458.0,626910814.5,626910814.5,626838832.1999999,2014-07-17,2599-12-31
CI.HEC.HH,34.8294,-116.335,920.0,629865078.5,629865078.5,629865078.5,1997-08-01,2599-12-31
CI.HMT2.HH,33.70811,-117.00152,593.0,629865078.5,629865078.5,629865078.5,2014-03-13,2599-12-31
CI.IDO.HH,33.79678,-116.22152,469.0,629536560.4,629536560.4,629536560.4,2020-08-05,2599-12-31
CI.IDY.HH,33.74642,-116.71536,1632.0,314801000.0,314801000.0,314801000.0,2022-06-01,2599-12-31
CI.IKP.HH,32.65012,-116.10948,906.0,629601000.0,629601000.0,629601000.0,2023-12-27,2599-12-31
CI.IMP.HH,32.90147,-115.56071,-27.0,632054706.6999999,627018414.2,628697178.4,2014-07-30,2599-12-31
CI.IVY.HH,33.76025,-117.47678,330.0,314801000.0,314801000.0,314801000.0,2022-11-17,2599-12-31
CI.JEM.HH,33.08098,-116.59755,1307.0,629601000.0,629601000.0,629601000.0,2024-02-27,2599-12-31
CI.JTH.HH,34.12644,-116.03785,609.0,314800731.4,314800731.4,314800731.4,2023-12-12,2599-12-31
CI.JVA.HH,34.36622,-116.61266,902.0,629601000.0,629601000.0,629601000.0,2021-07-14,2599-12-31
